작성팀 (일자),Level(*),L1,L2,L3,L4,L5,L6,필요인력,필요기간,MM,정의,프로세스 오너부서(L5),산출물(L5),선행 프로세스(L5),후행 프로세스(L5),준수지표(L5),소요기간(L5),수행주기(L5),참여(L5),바로가기 URL(L5),업무담당부서(L6),참여부서(L6),시스템,작업방식(L6),후행 액티비티(L6),L6의 선행 L5,L6의 후행 L5,수행 milestone
기획팀 (2024-01),L4,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,,,0,0,0,제품 기획 및 전략 수립 단계,,,,,,,,,,,,,,,,,
기획팀 (2024-01),L5,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,시장조사,,3,4,12,시장 동향 및 경쟁사 분석,기획팀,시장조사보고서,,요구사항분석,완료율 90%,4주,분기별,기획팀/마케팅팀,,,,,,,,,M1
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,시장조사,경쟁사분석,1,2,2,주요 경쟁사 제품 분석,,,,,,,,,,,기획팀,마케팅팀,수작업,분석,시장트렌드분석,시장조사,,M1
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,시장조사,시장트렌드분석,1,2,2,시장 동향 및 기술 트렌드 분석,,,,,,,,,,,기획팀,외부컨설팅,Smart D&E,분석,고객니즈분석,시장조사,,M1
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,시장조사,고객니즈분석,1,2,2,고객 요구사항 및 니즈 분석,,,,,,,,,,,기획팀,영업팀,수작업,설문조사,,,시장조사,M1
기획팀 (2024-01),L5,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,요구사항분석,,4,5,20,제품 요구사항 정의 및 분석,기획팀,요구사항명세서,시장조사,제품정의,완료율 95%,5주,프로젝트별,기획팀/개발팀,,,,,,,,,M1
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,요구사항분석,기능요구사항정의,2,2,4,핵심 기능 요구사항 정의,,,,,,,,,,,기획팀,개발팀,Smart D&E,문서작업,비기능요구사항정의,요구사항분석,,M1
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,요구사항분석,비기능요구사항정의,1,2,2,성능/보안/사용성 요구사항 정의,,,,,,,,,,,기획팀,인프라팀,Smart D&E,문서작업,사용자스토리작성,요구사항분석,,M1
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,요구사항분석,사용자스토리작성,1,3,3,사용자 중심의 스토리 작성,,,,,,,,,,,기획팀,UX팀,수작업,워크샵,요구사항검토,요구사항분석,,M1
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,요구사항분석,요구사항검토,1,1,1,요구사항 타당성 및 완성도 검토,,,,,,,,,,,기획팀,개발팀,수작업,회의,,,요구사항분석,M1
기획팀 (2024-01),L5,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,제품정의,,3,3,9,제품 컨셉 및 범위 정의,기획팀,제품기획서,요구사항분석,프로젝트계획,완료율 100%,3주,프로젝트별,기획팀/디자인팀,,,,,,,,,M2
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,제품정의,제품컨셉정의,1,1,1,핵심 제품 컨셉 및 가치 제안 정의,,,,,,,,,,,기획팀,마케팅팀,수작업,브레인스토밍,제품범위정의,제품정의,,M2
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,제품정의,제품범위정의,1,1,1,제품 개발 범위 및 우선순위 정의,,,,,,,,,,,기획팀,개발팀,수작업,회의,MVP정의,제품정의,,M2
기획팀 (2024-01),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,제품정의,MVP정의,1,2,2,최소기능제품(MVP) 정의,,,,,,,,,,,기획팀,개발팀,수작업,워크샵,,,제품정의,M2
기획팀 (2024-02),L5,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,프로젝트계획,,2,4,8,프로젝트 일정 및 리소스 계획,기획팀,프로젝트계획서,제품정의,위험관리,완료율 100%,4주,프로젝트별,기획팀/PMO,,,,,,,,,M2
기획팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,프로젝트계획,일정계획수립,1,2,2,상세 프로젝트 일정 수립,,,,,,,,,,,기획팀,PMO,MS Project,계획수립,리소스계획수립,프로젝트계획,,M2
기획팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,프로젝트계획,리소스계획수립,1,2,2,인력 및 예산 계획 수립,,,,,,,,,,,기획팀,인사팀,수작업,계획수립,마일스톤정의,프로젝트계획,,M2
기획팀 (2024-02),L6,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,프로젝트계획,마일스톤정의,1,1,1,주요 마일스톤 및 체크포인트 정의,,,,,,,,,,,기획팀,,수작업,계획수립,,,프로젝트계획,M2
